smiles	rxid	rate	DE	fullRxSmiles	isSideFromTarget	isShortcut	isDeprot	boostRing	speedScale	byproducts	rxacidbase	rxoxred	rxfreewater	rearrangement	irreversible	rxspeed	rxprotonic	rxpolar	rxtemp	mayr	idofgraph
COC(=O)[C-]1N=C(C(C(C)C)N2C(=O)CC2C)SC1N(C)C>>COC(=O)c1csc(C(C(C)C)N2C(=O)CC2C)n1	rx337		6.070859999999982	COC(=O)[C-]1N=C(C(C(C)C)N2C(=O)CC2C)SC1N(C)C>>COC(=O)c1csc(C(C(C)C)N2C(=O)CC2C)n1.CNC	False	False	False			-	SB.WB.B.N	NA	W.WF	N	N	F	P.AP	P.Non-P	L.rt.H	False	rx12
COC(=O)/C(=C/N(C)C)NC(=S)C(C(C)C)N1C(=O)CC1C>>COC(=O)[C-]1N=C(C(C(C)C)N2C(=O)CC2C)SC1N(C)C	rx84		59.20668999999998	COC(=O)/C(=C/N(C)C)NC(=S)C(C(C)C)N1C(=O)CC1C>>COC(=O)[C-]1N=C(C(C(C)C)N2C(=O)CC2C)SC1N(C)C	False	False	False	1			A.LA.WA.N	NA	W.WF	N	N	NA	P.AP	P.Non-P	L.rt.H	True	rx12
COC(=O)/C(=C/N(C)C)N=C1SC(=O)CC(C)NC1C(C)C>>COC(=O)/C(=C/N(C)C)NC(=S)C(C(C)C)N1C(=O)CC1C	rx83		4.0154	COC(=O)/C(=C/N(C)C)N=C1SC(=O)CC(C)NC1C(C)C>>COC(=O)/C(=C/N(C)C)NC(=S)C(C(C)C)N1C(=O)CC1C	False	False	False			-	N.WA	NA	W.WF	Y	Y	NA	P.AP	P.Non-P	rt.H	False	rx12
COC(=O)/C(=C/N(C)C)[N+]#CC(NC(C)CC(=O)S)C(C)C>>COC(=O)/C(=C/N(C)C)N=C1SC(=O)CC(C)NC1C(C)C	rx224		-84.92611	COC(=O)/C(=C/N(C)C)[N+]#CC(NC(C)CC(=O)S)C(C)C>>COC(=O)/C(=C/N(C)C)N=C1SC(=O)CC(C)NC1C(C)C	False	False	False	1			N.WA.WB.N+LA	NA	W.WF	N	Y	NA	P.AP	P.Non-P	VL.L.rt.H	False	rx12
CC(C)C=[NH+]C(C)CC(=O)S.[C-]#[N+]/C(=C\N(C)C)C(=O)OC>>COC(=O)/C(=C/N(C)C)[N+]#CC(NC(C)CC(=O)S)C(C)C	rx491		-74.17336999999998	CC(C)C=[NH+]C(C)CC(=O)S.[C-]#[N+]/C(=C\N(C)C)C(=O)OC>>COC(=O)/C(=C/N(C)C)[N+]#CC(NC(C)CC(=O)S)C(C)C	False	False	False				N.WA.WB.N+LA	NA	W.WF	N	Y	NA	P.AP	P.Non-P	VL.L.rt.H	False	rx12
CC(C)C=[OH+].CC(N)CC(=O)S>>CC(C)C=[NH+]C(C)CC(=O)S	rx475	15.209999999999999	-42.82971999999995	CC(C)C=[OH+].CC(N)CC(=O)S>>CC(C)C=[NH+]C(C)CC(=O)S.O	False	True	False				WA	NA	W.WF	N	N	F	P.AP	P.Non-P	rt.H	True	rx12
CC(C)C=O>>CC(C)C=[OH+]	rx104		12.883749999999992	CC(C)C=O>>CC(C)C=[OH+]	False	False	False			OS(=O)(=O)[O-]	WA	NA	W.WF	N	N	FI	P.AP	P.Non-P	L.rt.H.VH	True	rx12
COC(=O)[C-]1N=C(C(C(C)C)N2C(=O)CC2C)SC1N(C)C>>COC(=O)c1csc(C(C(C)C)N2C(=O)CC2C)n1	rx337		6.070859999999982	COC(=O)[C-]1N=C(C(C(C)C)N2C(=O)CC2C)SC1N(C)C>>COC(=O)c1csc(C(C(C)C)N2C(=O)CC2C)n1.CNC	False	False	False			-	SB.WB.B.N	NA	W.WF	N	N	F	P.AP	P.Non-P	L.rt.H	False	rx12
COC(=O)/C(=C/N(C)C)NC(=S)C(C(C)C)N1C(=O)CC1C>>COC(=O)[C-]1N=C(C(C(C)C)N2C(=O)CC2C)SC1N(C)C	rx84		59.20668999999998	COC(=O)/C(=C/N(C)C)NC(=S)C(C(C)C)N1C(=O)CC1C>>COC(=O)[C-]1N=C(C(C(C)C)N2C(=O)CC2C)SC1N(C)C	False	False	False	1			A.LA.WA.N	NA	W.WF	N	N	NA	P.AP	P.Non-P	L.rt.H	True	rx12
COC(=O)/C(=C/N(C)C)N=C1SC(=O)CC(C)NC1C(C)C>>COC(=O)/C(=C/N(C)C)NC(=S)C(C(C)C)N1C(=O)CC1C	rx83		4.0154	COC(=O)/C(=C/N(C)C)N=C1SC(=O)CC(C)NC1C(C)C>>COC(=O)/C(=C/N(C)C)NC(=S)C(C(C)C)N1C(=O)CC1C	False	False	False			-	N.WA	NA	W.WF	Y	Y	NA	P.AP	P.Non-P	rt.H	False	rx12
