SMILES	Solvent	Reactivity Parameters	SMARTS
N[C@@H](C[S-])C(=O)[O-]	water	N Parameter: 23.43 s N Parameter: 0.42	[CX4,c][SX1-].[CX4,c][SeX1-].[NX3,OX2][CX3](=[SX1])[SX2-].[CX4][SX2][CX4].[CX4][SeX2][CX4].[SX1-]C#N.c[SX3](=O)[O-]
[S-]CC(=O)[O-]	water	N Parameter: 22.62 s N Parameter: 0.43	[CX4,c][SX1-].[CX4,c][SeX1-].[NX3,OX2][CX3](=[SX1])[SX2-].[CX4][SX2][CX4].[CX4][SeX2][CX4].[SX1-]C#N.c[SX3](=O)[O-]
FC(C=1C=C(C=C(C1)C(F)(F)F)[S-])(F)F	DMSO	N Parameter: 19.71 s N Parameter: 0.86	[CX4,c][SX1-].[CX4,c][SeX1-].[NX3,OX2][CX3](=[SX1])[SX2-].[CX4][SX2][CX4].[CX4][SeX2][CX4].[SX1-]C#N.c[SX3](=O)[O-]
FC(C=1C=C(C=CC1)[S-])(F)F	DMSO	N Parameter: 21.75 s N Parameter: 0.86	[CX4,c][SX1-].[CX4,c][SeX1-].[NX3,OX2][CX3](=[SX1])[SX2-].[CX4][SX2][CX4].[CX4][SeX2][CX4].[SX1-]C#N.c[SX3](=O)[O-]
ClC=1C=C(C=CC1)[S-]	DMSO	N Parameter: 22.50 s N Parameter: 0.78	[CX4,c][SX1-].[CX4,c][SeX1-].[NX3,OX2][CX3](=[SX1])[SX2-].[CX4][SX2][CX4].[CX4][SeX2][CX4].[SX1-]C#N.c[SX3](=O)[O-]
FC(C1=CC=C(C=C1)[S-])(F)F	DMSO	N Parameter: 21.30 s N Parameter: 0.86	[CX4,c][SX1-].[CX4,c][SeX1-].[NX3,OX2][CX3](=[SX1])[SX2-].[CX4][SX2][CX4].[CX4][SeX2][CX4].[SX1-]C#N.c[SX3](=O)[O-]
BrC1=CC=C(C=C1)[S-]	DMSO	N Parameter: 22.80 s N Parameter: 0.78	[CX4,c][SX1-].[CX4,c][SeX1-].[NX3,OX2][CX3](=[SX1])[SX2-].[CX4][SX2][CX4].[CX4][SeX2][CX4].[SX1-]C#N.c[SX3](=O)[O-]
COC1=CC=C(C=C1)[S-]	DMSO	N Parameter: 24.97 s N Parameter: 0.68	[CX4,c][SX1-].[CX4,c][SeX1-].[NX3,OX2][CX3](=[SX1])[SX2-].[CX4][SX2][CX4].[CX4][SeX2][CX4].[SX1-]C#N.c[SX3](=O)[O-]
C([S-])(N1CCN(CC1)C)=S	MeCN	N Parameter: 23.61 s N Parameter: 0.57	[SX1-][CX3]=[OX1,SX1]
CC1=CC=C(C=C1)[S-]	DMSO	N Parameter: 24.35 s N Parameter: 0.69	[CX4,c][SX1-].[CX4,c][SeX1-].[NX3,OX2][CX3](=[SX1])[SX2-].[CX4][SX2][CX4].[CX4][SeX2][CX4].[SX1-]C#N.c[SX3](=O)[O-]
[N+](=O)([O-])C1=CC=C(C=C1)[S-]	DMSO	N Parameter: 18.92 s N Parameter: 0.87	[CX4,c][SX1-].[CX4,c][SeX1-].[NX3,OX2][CX3](=[SX1])[SX2-].[CX4][SX2][CX4].[CX4][SeX2][CX4].[SX1-]C#N.c[SX3](=O)[O-]
C(CCC)SCCCC	dichloromethane	N Parameter: 11.86 s N Parameter: 0.74	[CX4,c][SX1-].[CX4,c][SeX1-].[NX3,OX2][CX3](=[SX1])[SX2-].[CX4][SX2][CX4].[CX4][SeX2][CX4].[SX1-]C#N.c[SX3](=O)[O-]
C[Se]C	dichloromethane	N Parameter: 12.60 s N Parameter: 0.72	[CX4,c][SX1-].[CX4,c][SeX1-].[NX3,OX2][CX3](=[SX1])[SX2-].[CX4][SX2][CX4].[CX4][SeX2][CX4].[SX1-]C#N.c[SX3](=O)[O-]
CSC	dichloromethane	N Parameter: 12.32 s N Parameter: 0.72	[CX4,c][SX1-].[CX4,c][SeX1-].[NX3,OX2][CX3](=[SX1])[SX2-].[CX4][SX2][CX4].[CX4][SeX2][CX4].[SX1-]C#N.c[SX3](=O)[O-]
CSC	MeCN	N Parameter: 12.70 s N Parameter: 0.72	[CX4,c][SX1-].[CX4,c][SeX1-].[NX3,OX2][CX3](=[SX1])[SX2-].[CX4][SX2][CX4].[CX4][SeX2][CX4].[SX1-]C#N.c[SX3](=O)[O-]
[NH3+][C@H](C(=O)[O-])CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-]	water	N Parameter: 20.97 s N Parameter: 0.56	[CX4,c][SX1-].[CX4,c][SeX1-].[NX3,OX2][CX3](=[SX1])[SX2-].[CX4][SX2][CX4].[CX4][SeX2][CX4].[SX1-]C#N.c[SX3](=O)[O-]
[S-]C(=S)N1CCOCC1	MeCN	N Parameter: 21.72 s N Parameter: 0.64	[SX1-][CX3]=[OX1,SX1]
[S-]C(=S)N(C)C	MeCN	N Parameter: 20.93 s N Parameter: 0.69	[SX1-][CX3]=[OX1,SX1]
C1=C(C=CC2=CC=CC=C12)[S-]	DMSO	N Parameter: 22.55 s N Parameter: 0.83	[CX4,c][SX1-].[CX4,c][SeX1-].[NX3,OX2][CX3](=[SX1])[SX2-].[CX4][SX2][CX4].[CX4][SeX2][CX4].[SX1-]C#N.c[SX3](=O)[O-]
C([S-])(OCC)=S	MeCN	N Parameter: 19.30 s N Parameter: 0.69	[SX1-][CX3]=[OX1,SX1]
C([S-])(OC(C)C)=S	MeCN	N Parameter: 18.27 s N Parameter: 0.78	[SX1-][CX3]=[OX1,SX1]
C1(=CC=CC=C1)S(=O)[O-]	water-MeCN mix	N Parameter: 13.75 s N Parameter: 0.68	[CX4,c][SX1-].[CX4,c][SeX1-].[NX3,OX2][CX3](=[SX1])[SX2-].[CX4][SX2][CX4].[CX4][SeX2][CX4].[SX1-]C#N.c[SX3](=O)[O-]
C1(=CC=CC=C1)S(=O)[O-]	DMSO	N Parameter: 19.60 s N Parameter: 0.60	[CX4,c][SX1-].[CX4,c][SeX1-].[NX3,OX2][CX3](=[SX1])[SX2-].[CX4][SX2][CX4].[CX4][SeX2][CX4].[SX1-]C#N.c[SX3](=O)[O-]
C1(=CC=CC=C1)S(=O)[O-]	MeCN	N Parameter: 20.11 s N Parameter: 0.59	[CX4,c][SX1-].[CX4,c][SeX1-].[NX3,OX2][CX3](=[SX1])[SX2-].[CX4][SX2][CX4].[CX4][SeX2][CX4].[SX1-]C#N.c[SX3](=O)[O-]
[S-]C(=S)N1CCCCC1	MeCN	N Parameter: 23.84 s N Parameter: 0.57	[SX1-][CX3]=[OX1,SX1]
[S-]C(=S)N1CCCC1	MeCN	N Parameter: 22.40 s N Parameter: 0.63	[SX1-][CX3]=[OX1,SX1]
[O-]S([O-])=O	water	N Parameter: 16.83 s N Parameter: 0.56	[O-][SX3]([O-])=O
S1CCCC1	dichloromethane	N Parameter: 13.10 s N Parameter: 0.72	[CX4,c][SX1-].[CX4,c][SeX1-].[NX3,OX2][CX3](=[SX1])[SX2-].[CX4][SX2][CX4].[CX4][SeX2][CX4].[SX1-]C#N.c[SX3](=O)[O-]
S1CCCC1	MeCN	N Parameter: 13.30 s N Parameter: 0.72	[CX4,c][SX1-].[CX4,c][SeX1-].[NX3,OX2][CX3](=[SX1])[SX2-].[CX4][SX2][CX4].[CX4][SeX2][CX4].[SX1-]C#N.c[SX3](=O)[O-]
S1CCCCC1	dichloromethane	N Parameter: 11.94 s N Parameter: 0.75	[CX4,c][SX1-].[CX4,c][SeX1-].[NX3,OX2][CX3](=[SX1])[SX2-].[CX4][SX2][CX4].[CX4][SeX2][CX4].[SX1-]C#N.c[SX3](=O)[O-]
C(C)(=O)[S-]	MeCN	N Parameter: 21.20 s N Parameter: 0.63	[SX1-][CX3]=[OX1,SX1]
